timestamp,turns_left,my_loc,opp_loc,action_dir,action_type,my_turds_left,my_eggs_count,opp_eggs_count,oscillation
1764719386.3166962,40,"(7, 6)","(1, 6)",0,EGG,5,0,1,0
1764719398.5068815,39,"(7, 5)","(1, 5)",3,PLAIN,5,1,1,0
1764719408.5479925,38,"(6, 5)","(1, 4)",0,EGG,5,1,2,0
1764719420.7120965,37,"(6, 4)","(1, 3)",3,PLAIN,5,2,2,0
1764719430.7503753,36,"(5, 4)","(1, 2)",0,EGG,5,2,3,0
1764719440.7868538,35,"(5, 3)","(0, 2)",0,PLAIN,5,3,3,0
1764719450.2948287,34,"(5, 2)","(0, 1)",0,EGG,5,3,4,0
1764719462.453298,33,"(5, 1)","(0, 0)",3,PLAIN,5,4,4,0
1764719472.4875643,32,"(4, 1)","(1, 0)",0,EGG,5,4,5,0
1764719482.9514906,31,"(4, 0)","(2, 0)",1,PLAIN,5,5,5,0
1764719492.4714532,30,"(5, 0)","(2, 1)",2,EGG,5,5,6,0
1764719506.764406,29,"(5, 1)","(2, 2)",1,PLAIN,5,6,6,0
1764719516.804465,28,"(6, 1)","(2, 3)",0,EGG,5,6,7,0
1764719531.0974689,27,"(6, 0)","(3, 3)",1,PLAIN,5,7,7,0
1764719541.1334126,26,"(7, 0)","(3, 2)",2,EGG,5,7,8,0
1764719555.4194517,25,"(7, 1)","(4, 2)",2,TURD,5,8,8,0
1764719565.4644783,24,"(7, 2)","(4, 3)",0,EGG,4,8,9,0
1764719565.6832287,23,"(7, 1)","(5, 3)",0,PLAIN,4,9,9,0
1764719571.0872023,22,"(7, 0)","(6, 3)",3,PLAIN,4,9,10,0
1764719571.1296632,21,"(6, 0)","(7, 3)",2,PLAIN,4,9,10,0
1764719578.0636916,20,"(6, 1)","(7, 4)",3,PLAIN,4,9,11,0
1764719578.182965,19,"(5, 1)","(6, 4)",0,PLAIN,4,9,11,0
1764719592.4681532,18,"(5, 0)","(7, 4)",3,PLAIN,4,9,12,0
1764719604.645553,17,"(4, 0)","(7, 5)",3,PLAIN,4,9,12,0
1764719611.9167438,16,"(3, 0)","(7, 4)",1,EGG,4,9,13,0
1764719790.461646,40,"(0, 6)","(7, 6)",0,EGG,5,0,0,0
1764719790.500884,39,"(0, 5)","(6, 6)",0,PLAIN,5,1,1,0
1764719800.5409226,38,"(0, 4)","(6, 5)",0,EGG,5,1,1,0
1764719810.5853493,37,"(0, 3)","(6, 4)",0,PLAIN,5,2,2,0
1764719820.620506,36,"(0, 2)","(6, 3)",0,EGG,5,2,2,0
1764719830.6699471,35,"(0, 1)","(6, 2)",1,PLAIN,5,3,3,0
1764719840.709415,34,"(1, 1)","(6, 1)",0,EGG,5,3,3,0
