timestamp,turns_left,my_loc,opp_loc,action_dir,action_type,my_turds_left,my_eggs_count,opp_eggs_count,oscillation
1764735025.545885,40,"(0, 6)","(7, 6)",0,EGG,5,0,0,0
1764735025.5776463,39,"(0, 5)","(6, 6)",0,PLAIN,5,1,1,0
1764735035.6150017,38,"(0, 4)","(6, 5)",0,EGG,5,1,1,0
1764735045.6409137,37,"(0, 3)","(6, 4)",0,PLAIN,5,2,2,0
1764735055.6725936,36,"(0, 2)","(6, 3)",0,EGG,5,2,2,0
1764735065.0158596,35,"(0, 1)","(6, 2)",1,PLAIN,5,3,3,0
1764735075.0431316,34,"(1, 1)","(6, 1)",0,EGG,5,3,3,0
1764735085.0870109,33,"(1, 0)","(6, 0)",1,PLAIN,5,4,4,0
1764735095.1486342,32,"(2, 0)","(5, 0)",1,EGG,5,4,4,0
1764735105.1848245,31,"(3, 0)","(4, 0)",2,PLAIN,5,5,5,0
1764735115.2152972,30,"(3, 1)","(4, 1)",2,EGG,5,5,5,0
1764735125.5075603,29,"(3, 2)","(4, 2)",2,PLAIN,5,6,6,0
1764735135.5569277,28,"(3, 3)","(3, 2)",1,EGG,5,6,6,0
1764735145.596002,27,"(0, 6)","(4, 2)",1,PLAIN,5,7,7,0
1764735155.647005,26,"(1, 6)","(7, 6)",0,PLAIN,5,7,7,0
1764735165.6966703,25,"(1, 5)","(7, 5)",0,EGG,5,7,7,0
1764735175.730766,24,"(1, 4)","(7, 4)",1,PLAIN,5,8,7,0
1764735185.7617934,23,"(2, 4)","(7, 3)",1,EGG,5,8,8,0
1764735195.8066227,22,"(3, 4)","(7, 2)",1,PLAIN,5,9,8,0
1764735205.8647983,21,"(4, 4)","(7, 1)",2,EGG,5,9,9,0
1764735215.929191,20,"(4, 5)","(7, 0)",3,PLAIN,5,10,9,0
1764735225.9813657,19,"(3, 5)","(7, 1)",2,EGG,5,10,10,0
1764735226.1244729,18,"(3, 6)","(7, 2)",1,PLAIN,5,11,10,0
1764735227.311867,17,"(4, 6)","(6, 2)",2,EGG,5,11,10,0
1764735237.367718,16,"(4, 7)","(5, 2)",1,PLAIN,5,12,10,0
1764735247.4256353,15,"(5, 7)","(5, 3)",3,EGG,5,12,11,0
1764735266.8861294,13,"(4, 6)","(7, 6)",0,PLAIN,5,13,12,0
1764735276.1327333,12,"(4, 5)","(7, 7)",1,PLAIN,5,13,12,0
1764735285.7441492,11,"(0, 6)","(6, 7)",0,PLAIN,5,13,12,0
1764735285.9297152,10,"(0, 5)","(7, 7)",2,PLAIN,5,13,13,0
1764735285.966318,9,"(0, 6)","(7, 6)",1,PLAIN,5,13,13,0
1764735286.4221718,8,"(1, 6)","(7, 5)",1,PLAIN,5,13,13,0
1764735286.4619129,7,"(2, 6)","(7, 4)",0,EGG,5,13,13,0
1764735286.7054913,6,"(2, 5)","(7, 3)",0,PLAIN,5,14,13,0
1764735286.7929559,5,"(2, 4)","(7, 2)",0,PLAIN,5,14,13,0
1764735287.3273478,4,"(2, 3)","(6, 2)",0,PLAIN,5,14,13,0
1764735287.4307458,3,"(2, 2)","(6, 1)",0,EGG,5,14,13,0
1764735287.897679,2,"(2, 1)","(6, 0)",0,PLAIN,5,15,13,0
1764735288.0654314,1,"(2, 0)","(5, 0)",1,PLAIN,5,15,13,0
1764735770.5746653,40,"(0, 6)","(7, 6)",1,EGG,5,0,0,0
1764735773.8016343,39,"(1, 6)","(6, 6)",1,PLAIN,5,1,1,0
1764735787.0368083,38,"(2, 6)","(6, 5)",0,EGG,5,1,1,0
1764735800.2660372,37,"(2, 5)","(6, 4)",1,PLAIN,5,2,2,0
1764735813.511698,36,"(3, 5)","(6, 3)",0,EGG,5,2,2,0
1764735823.5425534,35,"(3, 4)","(6, 2)",0,PLAIN,5,3,3,0
1764735833.5738528,34,"(3, 3)","(7, 2)",0,PLAIN,5,3,3,0
1764735846.7998807,33,"(3, 2)","(7, 1)",1,PLAIN,5,3,4,0
1764735860.0413423,32,"(0, 6)","(7, 0)",1,PLAIN,5,3,4,0
1764735873.2710836,31,"(1, 6)","(6, 0)",0,PLAIN,5,3,5,0
1764735888.929353,30,"(1, 5)","(5, 0)",1,EGG,5,3,5,0
1764735904.558741,29,"(2, 5)","(4, 0)",0,PLAIN,5,4,6,0
1764735920.192519,28,"(2, 4)","(3, 0)",1,EGG,5,4,6,0
1764735935.8230195,27,"(3, 4)","(3, 1)",0,PLAIN,5,5,7,0
1764735951.4524617,26,"(3, 3)","(2, 1)",3,EGG,5,5,7,0
1764735967.0773664,25,"(0, 6)","(2, 2)",1,PLAIN,5,6,8,0
1764735982.7028928,24,"(1, 6)","(1, 2)",1,TURD,5,6,8,0
1764735998.3281784,23,"(2, 6)","(1, 3)",0,PLAIN,4,6,9,0
1764736004.135955,22,"(2, 5)","(0, 3)",1,TURD,4,6,9,0
1764736019.7596388,21,"(3, 5)","(0, 4)",1,PLAIN,3,6,10,0
1764736029.9002833,20,"(4, 5)","(1, 4)",0,TURD,3,6,10,0
1764736039.2085853,19,"(4, 4)","(0, 4)",2,TURD,2,6,11,0
1764736048.5989115,18,"(4, 5)","(0, 5)",2,PLAIN,1,6,11,0
1764736058.6271577,17,"(4, 6)","(0, 4)",3,TURD,1,6,12,0
1764736058.7138236,16,"(3, 6)","(0, 3)",2,PLAIN,0,6,12,0
1764736068.5736682,15,"(3, 7)","(0, 2)",1,EGG,0,6,12,0
